"Contract.Number","Plan.ID","Segment.ID","State","Year","County_Fairfield","County_Hartford","County_Litchfield","County_Middlesex","County_New Haven","County_New London","County_Tolland","County_Windham","Premium","Medical Deductible (y/n)","Medical Deductible","OOP Max","Inpatient Copay","Rx Deductible","Rx Copay Min","Rx Copay Max","Rx Coinsurance Min","Rx Coinsurance Max","PCP Min","PCP Max","Specialist Min","Specialist Max","Vision Max","Vision Per","Ambulance Copay Min","Ambulance Copay Max","Transport #","Transport Per","Hearing Max","Hearing Per","Fitness","OTC Max Plan","OTC Max","Meal Amt","Meal Per"
"E0654",801,0,"CT",2022,1,1,1,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"H0271",14,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,3450,0,NA,NA,NA,20,20,NA,NA,NA,NA,300,3,NA,NA,24,3,2000,3,"14c4;14c7;14c11;",40,6,NA,NA
"H0342",1,0,"CT",2022,0,1,1,1,1,1,1,1,0,NA,NA,4900,795,NA,0,45,NA,NA,NA,NA,45,45,150,3,325,325,NA,NA,NA,NA,"14c4;14c8;14c10;14c12;14c15;",50,5,NA,NA
"H0710",26,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,3000,1480,NA,0,0,NA,NA,0,0,NA,NA,300,3,NA,NA,36,3,2000,3,"",230,5,NA,NA
"H0712",5,0,"CT",2022,1,1,1,1,1,1,1,1,0,1,NA,3450,0,NA,NA,NA,20,20,NA,NA,NA,NA,200,3,NA,NA,24,3,2000,3,"14c2;14c3;14c4;14c7;14c9;14c11;14c21;",200,5,NA,NA
"H0712",19,0,"CT",2022,1,1,1,1,1,1,1,1,0,1,175,7550,0,NA,0,0,NA,NA,0,0,45,45,200,3,300,300,12,3,1500,3,"14c2;14c3;14c4;14c7;14c9;14c11;",30,5,NA,NA
"H0712",20,0,"CT",2022,1,1,1,1,1,1,1,1,0,2,NA,5500,0,NA,0,0,NA,NA,0,0,30,30,200,3,250,250,24,3,2000,3,"14c2;14c3;14c4;14c7;14c9;14c11;",100,5,NA,NA
"H0712",29,0,"CT",2022,1,1,1,1,1,1,1,1,0,1,NA,3450,2524,NA,NA,NA,20,20,NA,NA,NA,NA,300,3,NA,NA,24,3,2000,3,"14c2;14c3;14c4;14c7;14c9;14c11;14c21;",300,5,NA,NA
"H0755",30,0,"CT",2022,1,1,1,1,1,1,1,1,67.6,2,NA,4700,0,NA,15,15,NA,NA,0,0,30,30,100,2,270,270,NA,NA,NA,NA,"14c4;14c7;",60,5,NA,NA
"H0755",31,0,"CT",2022,1,1,1,1,1,1,1,1,6.7,2,NA,6000,0,NA,15,15,NA,NA,10,10,40,40,100,2,270,270,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H0755",32,0,"CT",2022,1,1,1,1,1,1,1,1,0,2,NA,6000,0,NA,15,15,NA,NA,0,0,35,35,100,3,250,250,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H0755",33,0,"CT",2022,1,1,1,1,1,1,1,1,0,2,NA,6700,0,NA,15,15,NA,NA,15,15,45,45,100,2,265,265,NA,NA,NA,NA,"14c4;14c7;",40,5,NA,NA
"H0755",810,0,"CT",2022,1,1,0,0,1,0,0,0,NA,1,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H1666",801,0,"CT",2022,1,0,0,0,0,0,0,0,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H1914",1,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,5500,0,NA,0,0,NA,NA,0,0,40,40,200,3,250,250,12,3,2000,3,"14c2;14c3;14c4;14c7;14c9;14c11;",45,5,NA,NA
"H1914",2,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,7550,0,NA,0,0,NA,NA,0,0,40,40,100,3,265,265,NA,NA,700,3,"14c2;14c3;14c4;14c7;14c9;",35,5,NA,NA
"H1914",4,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,6700,0,NA,0,0,NA,NA,0,0,40,40,200,3,250,250,24,3,1500,3,"14c2;14c3;14c4;14c7;14c9;14c11;",100,5,NA,NA
"H2001",816,0,"CT",2022,1,1,1,1,1,1,1,1,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",817,0,"CT",2022,1,1,1,1,1,1,1,1,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",823,0,"CT",2022,1,0,0,0,1,0,0,0,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",836,0,"CT",2022,0,1,0,0,0,0,0,0,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",837,0,"CT",2022,1,1,1,1,1,1,1,1,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",838,0,"CT",2022,1,1,1,1,1,1,1,1,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",840,0,"CT",2022,1,1,0,0,1,0,0,0,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",847,0,"CT",2022,1,1,1,1,1,1,1,1,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2001",857,0,"CT",2022,1,1,0,1,1,0,0,0,NA,NA,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA
"H2752",1,0,"CT",2022,0,0,0,0,1,0,0,0,0,2,NA,6500,0,NA,20,20,NA,NA,NA,NA,0,40,150,3,260,260,NA,NA,700,1,"14c1;14c4;14c7;",45,5,NA,NA
"H2752",2,0,"CT",2022,0,0,0,0,1,0,0,0,0,1,NA,7550,1400,NA,NA,NA,20,20,NA,NA,NA,NA,300,3,NA,NA,30,3,700,1,"14c1;14c4;14c7;",50,5,NA,NA
"H2836",5,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,7550,0,NA,15,30,NA,NA,5,5,45,45,125,3,295,295,NA,NA,1000,3,"14c4;14c7;",35,5,NA,NA
"H2836",6,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,6700,0,NA,NA,NA,20,20,NA,NA,NA,NA,250,3,NA,NA,24,3,3000,3,"14c4;14c7;14c11;",100,5,NA,NA
"H3276",1,0,"CT",2022,1,1,1,1,1,1,1,1,0,1,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,500,3,NA,NA,NA,NA,1500,3,"14c4;14c7;",50,6,NA,NA
"H3276",2,0,"CT",2022,1,1,1,1,1,1,1,1,0,1,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,200,3,NA,NA,NA,NA,NA,NA,"14c4;",100,5,NA,NA
"H3276",3,0,"CT",2022,1,0,0,0,1,0,0,0,0,1,NA,7550,NA,NA,NA,NA,20,20,NA,NA,NA,NA,500,3,NA,NA,NA,NA,1500,3,"14c4;14c7;",100,6,NA,NA
"H3442",1,0,"CT",2022,1,1,1,1,1,1,1,1,0,NA,NA,6700,750,NA,15,15,NA,NA,0,0,45,45,200,2,270,270,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",3,0,"CT",2022,1,1,1,1,1,1,1,1,0,2,NA,6000,0,NA,35,35,NA,NA,NA,NA,10,10,500,3,50,50,NA,NA,NA,NA,"14c4;14c7;",25,6,NA,NA
"H3528",6,0,"CT",2022,1,1,1,1,1,1,1,0,144.8,2,NA,5300,0,NA,35,35,NA,NA,15,15,30,30,NA,NA,200,200,NA,NA,NA,NA,"14c4;14c7;",NA,NA,NA,NA
"H3528",10,0,"CT",2022,1,1,1,1,1,1,1,1,0,2,NA,7550,0,NA,45,45,NA,NA,15,15,50,50,100,3,415,415,NA,NA,400,3,"14c4;14c7;",15,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
"H3528",11,1,"CT",2022,0,1,1,1,0,0,1,0,15.9,2,NA,5500,0,NA,45,45,NA,NA,5,5,50,50,300,3,325,325,NA,NA,NA,NA,"14c4;14c7;",50,5,NA,NA
