Contract_Plan_Segment,Year,Contract_ID,Plan_ID,Segment_ID,Premium,Annual_Deductible,Drug_Coverage,In_MOOP,Out_MOOP,In_HP_Deductible,Out_HP_Deductible,In_Inpatient,In_Inpatient_inf,Out_Inpatient,Out_Inpatient_inf,Out_Inpatient_Coin,In_Primary_Min,In_Primary_Max,Out_Primary_Min,Out_Primary_Max,Out_Primary_Coin,In_Specialist_Min,In_Specialist_Max,Out_Specialist_Min,Out_Specialist_Max,Out_Specialist_Coin,Emergency_Care,Urgent_Care_Min,Urgent_Care_Max,In_Ambulance,Out_Ambulance_Min,Out_Ambulance_Max,Out_Ambulance_Coin,In_Vision_Exam,Out_Vision_Exam,Out_Vision_Exam_Coin,In_Hearing_Exam,Out_Hearing_Exam_Min,Out_Hearing_Exam_Max,Out_Hearing_Exam_Coin,Tier1,Tier2,Tier3,Tier4,Tier4_Coin,Tier5_Coin,OTC_Yearly,X14c1_Health_Education,X14c10_In.Home_Safety_Assessment,X14c11_Personal_Emergency_Response_System,X14c12_Medical_Nutrition_Therapy,X14c15_Wigs_for_Hair_Loss,X14c16_Weight_Management_Programs,X14c2_Nutritional.Dietary_Benefit,X14c3_Smoking_Tobacco_Counseling,X14c4_Fitness_Benefit,X14c7_Remote_Access_Technologies,X14c8_Bathroom_Safety_Devices,X14c9_Counseling_Services,Star_Rating_NA,Annual_Deductible_NA,Out_MOOP_NA,Out_HP_Deductible_NA,In_Inpatient_numdays_NA,Out_Inpatient_NA,Out_Inpatient_numdays_NA,Out_Inpatient_Coin_NA,Out_Primary_Min_NA,Out_Primary_Max_NA,Out_Primary_Coin_NA,Out_Specialist_Min_NA,Out_Specialist_Max_NA,Out_Specialist_Coin_NA,Out_Ambulance_Min_NA,Out_Ambulance_Max_NA,Out_Ambulance_Coin_NA,In_Vision_Exam_NA,Out_Vision_Exam_NA,Out_Vision_Exam_Coin_NA,Out_Hearing_Exam_Min_NA,Out_Hearing_Exam_Max_NA,Out_Hearing_Exam_Coin_NA,Tier1_NA,Tier2_NA,Tier3_NA,Tier4_NA,Tier4_Coin_NA,Tier5_Coin_NA,OTC_Yearly_NA,Star_Rating_3,Star_Rating_3.5,Star_Rating_4,Star_Rating_4.5,In_Inpatient_numdays_3,In_Inpatient_numdays_4,In_Inpatient_numdays_5,In_Inpatient_numdays_6,In_Inpatient_numdays_90,Out_Inpatient_numdays_1,Out_Inpatient_numdays_3,Out_Inpatient_numdays_4,Out_Inpatient_numdays_5,Out_Inpatient_numdays_6,Out_Inpatient_numdays_90,X..of.preventive.Dental.Coverage_0,X..of.preventive.Dental.Coverage_2,X..of.preventive.Dental.Coverage_3,X..of.preventive.Dental.Coverage_4,X..of.comprehensive.Dental.Coverage_0,X..of.comprehensive.Dental.Coverage_2,X..of.comprehensive.Dental.Coverage_5,X..of.comprehensive.Dental.Coverage_6,X..of.comprehensive.Dental.Coverage_7
H0342-1-0,2021,H0342,1,0,0,0,1,1,0.668141593,1,1,1,1,0,1,0.6,0,0,0.4,0.4,0,0.9,0.875,0.2,0.2,0,0,0.692307692,0.636363636,0.78313253,0.78313253,0.78313253,0,0,0,0.6,0.9,0.769230769,0.2,0,0,0,1,1,0,1,0.476190476,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
H0342-1-0,2022,H0342,1,0,0,0,1,0.361445783,0.433628319,0.001,0.001,1,1,0,1,0.6,0,0,1,1,0,0.9,0.875,0.2,0.2,0,0,0.692307692,0.636363636,0.78313253,0.78313253,0.78313253,0,0,0.769230769,0,0.9,0.769230769,0.2,0,0,0,1,1,0,1,0.476190476,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
H0712-19-0,2019,H0712,19,0,0,0,1,0.385542169,0,0.175,0,0.366972477,0,0.566037736,0,0,0,0,0,0,0,0.9,0.875,0.18,0.18,0,0,0.384615385,0.272727273,0.602409639,0.602409639,0.602409639,0,0,0,0,0.9,0.692307692,0.18,0,0.25,0.6,1,0,0.96,1,0.571428571,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
H0712-19-0,2020,H0712,19,0,0,0,1,0.385542169,0,0.175,0,0.412844037,0,0.597484277,0,0,0,0,0,0,0,0.9,0.875,0.18,0.18,0,0,0.384615385,0.272727273,0.722891566,0.722891566,0.722891566,0,0,0,0,0.9,0.692307692,0.18,0,0.25,0.5,1,0,0.96,1,0.571428571,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
H0712-19-0,2021,H0712,19,0,0,0,1,0.506024096,0,0.175,0,0.412844037,0,0.597484277,0,0,0,0,0,0,0,0.9,0.875,0.18,0.18,0,0,0.384615385,0.272727273,0.626506024,0.626506024,0.626506024,0,0,0,0,0.9,0.692307692,0.18,0,0.083333333,0.3,1,0,0.96,1,0.238095238,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
H0712-19-0,2022,H0712,19,0,0,0,1,1,0,0.175,0,0.394495413,0,0.58490566,0,0,0,0,0,0,0,0.9,0.875,0.18,0.18,0,0,0.384615385,0.272727273,0.722891566,0.722891566,0.722891566,0,0,0,0,0.9,0.692307692,0.18,0,0,0.05,0.787234043,0,0.86,1,0.285714286,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
H0712-20-0,2019,H0712,20,0,0.068595041,0.864583333,1,0.144578313,0.353982301,0,0,0.229357798,0,0,1,0.6,0,0,0,0,0.6,0.7,0.625,0,0,0.6,0,0.384615385,0.272727273,0.481927711,0.481927711,0,1,0,0,0,0.7,0,0,0.6,0.25,0.35,1,0,1,0.757575758,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
H0712-20-0,2020,H0712,20,0,0.04338843,0.90625,1,0.385542169,0.442477876,0,0,0.229357798,0,0,1,0.6,0,0,0,0,0.6,0.7,0.625,0,0,0.6,0,0.384615385,0.272727273,0.602409639,0,0,1,0,0,0,0.7,0,0,0.6,0.5,0.95,1,0,1,0.757575758,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
H0712-20-0,2021,H0712,20,0,0.088429752,0.927083333,1,0.506024096,0,0,0,0.229357798,0,0.471698113,0,0,0,0,0,0,0,0.6,0.5,0.12,0.12,0,0,0.384615385,0.272727273,0.602409639,0.602409639,0.602409639,0,0,0,0,0.6,0.461538462,0.12,0,0,1,1,0,1,0.757575758,0.761904762,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
H0712-20-0,2022,H0712,20,0,0.099586777,1,1,0.506024096,0,0,0,0.229357798,0,0.471698113,0,0,0,0,0,0,0,0.6,0.5,0.12,0.12,0,0,0.384615385,0.272727273,0.602409639,0.602409639,0.602409639,0,0,0,0,0.6,0.461538462,0.12,0,0,0.75,0.893617021,0,0.96,0.757575758,0.952380952,0,0,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
