"Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"E0654",801,7000,9001,"CT","Fairfield","69",2022
"E0654",801,7010,9003,"CT","Hartford","69",2022
"E0654",801,7020,9005,"CT","Litchfield","25",2022
"E0654",801,7040,9009,"CT","New Haven","114",2022
"E0654",801,7050,9011,"CT","New London","42",2022
"E0654",801,7060,9013,"CT","Tolland","14",2022
"E0654",801,7070,9015,"CT","Windham","20",2022
"H0271",14,7000,9001,"CT","Fairfield","7592",2022
"H0271",14,7010,9003,"CT","Hartford","13415",2022
"H0271",14,7020,9005,"CT","Litchfield","1967",2022
"H0271",14,7030,9007,"CT","Middlesex","1844",2022
"H0271",14,7040,9009,"CT","New Haven","11147",2022
"H0271",14,7050,9011,"CT","New London","3578",2022
"H0271",14,7060,9013,"CT","Tolland","1419",2022
"H0271",14,7070,9015,"CT","Windham","1930",2022
"H0342",1,7010,9003,"CT","Hartford","125",2022
"H0342",1,7020,9005,"CT","Litchfield","27",2022
"H0342",1,7030,9007,"CT","Middlesex","19",2022
"H0342",1,7040,9009,"CT","New Haven","46",2022
"H0342",1,7050,9011,"CT","New London","48",2022
"H0342",1,7060,9013,"CT","Tolland","24",2022
"H0342",1,7070,9015,"CT","Windham","18",2022
"H0710",26,7000,9001,"CT","Fairfield","674",2022
"H0710",26,7010,9003,"CT","Hartford","1480",2022
"H0710",26,7020,9005,"CT","Litchfield","170",2022
"H0710",26,7030,9007,"CT","Middlesex","241",2022
"H0710",26,7040,9009,"CT","New Haven","533",2022
"H0710",26,7050,9011,"CT","New London","144",2022
"H0710",26,7060,9013,"CT","Tolland","127",2022
"H0710",26,7070,9015,"CT","Windham","107",2022
"H0712",5,7000,9001,"CT","Fairfield","1177",2022
"H0712",5,7010,9003,"CT","Hartford","1544",2022
"H0712",5,7020,9005,"CT","Litchfield","106",2022
"H0712",5,7030,9007,"CT","Middlesex","90",2022
"H0712",5,7040,9009,"CT","New Haven","940",2022
"H0712",5,7050,9011,"CT","New London","222",2022
"H0712",5,7060,9013,"CT","Tolland","70",2022
"H0712",5,7070,9015,"CT","Windham","110",2022
"H0712",19,7000,9001,"CT","Fairfield","159",2022
"H0712",19,7010,9003,"CT","Hartford","334",2022
"H0712",19,7020,9005,"CT","Litchfield","37",2022
"H0712",19,7030,9007,"CT","Middlesex","25",2022
"H0712",19,7040,9009,"CT","New Haven","714",2022
"H0712",19,7050,9011,"CT","New London","68",2022
"H0712",19,7060,9013,"CT","Tolland","47",2022
"H0712",19,7070,9015,"CT","Windham","21",2022
"H0712",20,7000,9001,"CT","Fairfield","448",2022
"H0712",20,7010,9003,"CT","Hartford","386",2022
"H0712",20,7020,9005,"CT","Litchfield","47",2022
"H0712",20,7030,9007,"CT","Middlesex","35",2022
"H0712",20,7040,9009,"CT","New Haven","295",2022
"H0712",20,7050,9011,"CT","New London","72",2022
"H0712",20,7060,9013,"CT","Tolland","66",2022
"H0712",20,7070,9015,"CT","Windham","21",2022
"H0712",29,7000,9001,"CT","Fairfield","330",2022
"H0712",29,7010,9003,"CT","Hartford","441",2022
"H0712",29,7020,9005,"CT","Litchfield","43",2022
"H0712",29,7030,9007,"CT","Middlesex","43",2022
"H0712",29,7040,9009,"CT","New Haven","549",2022
"H0712",29,7050,9011,"CT","New London","111",2022
"H0712",29,7060,9013,"CT","Tolland","31",2022
