Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment,Year
E0654,801,7000,9001,CT,Fairfield,83,2020
E0654,801,7010,9003,CT,Hartford,66,2020
E0654,801,7020,9005,CT,Litchfield,29,2020
E0654,801,7030,9007,CT,Middlesex,13,2020
E0654,801,7040,9009,CT,New Haven,123,2020
E0654,801,7050,9011,CT,New London,39,2020
E0654,801,7060,9013,CT,Tolland,17,2020
E0654,801,7070,9015,CT,Windham,26,2020
E3014,801,7000,9001,CT,Fairfield,*,2020
E3014,801,7010,9003,CT,Hartford,*,2020
E3014,801,7020,9005,CT,Litchfield,*,2020
E3014,801,7030,9007,CT,Middlesex,*,2020
E3014,801,7040,9009,CT,New Haven,*,2020
E3014,801,7050,9011,CT,New London,*,2020
E3014,801,7060,9013,CT,Tolland,*,2020
E3014,801,7070,9015,CT,Windham,*,2020
E3014,802,7000,9001,CT,Fairfield,*,2020
E3014,802,7010,9003,CT,Hartford,*,2020
E3014,802,7020,9005,CT,Litchfield,*,2020
E3014,802,7030,9007,CT,Middlesex,*,2020
E3014,802,7040,9009,CT,New Haven,*,2020
E3014,802,7050,9011,CT,New London,*,2020
E3014,802,7060,9013,CT,Tolland,*,2020
E3014,802,7070,9015,CT,Windham,*,2020
E4744,801,7000,9001,CT,Fairfield,*,2020
E4744,801,7010,9003,CT,Hartford,*,2020
E4744,801,7020,9005,CT,Litchfield,*,2020
E4744,801,7030,9007,CT,Middlesex,*,2020
E4744,801,7040,9009,CT,New Haven,*,2020
E4744,801,7050,9011,CT,New London,*,2020
E4744,801,7060,9013,CT,Tolland,*,2020
E4744,801,7070,9015,CT,Windham,*,2020
H0028,19,7010,9003,CT,Hartford,*,2020
H0028,28,7040,9009,CT,New Haven,*,2020
H0028,43,7010,9003,CT,Hartford,*,2020
H0028,43,7040,9009,CT,New Haven,*,2020
H0104,801,7000,9001,CT,Fairfield,*,2020
H0104,801,7010,9003,CT,Hartford,*,2020
H0104,801,7020,9005,CT,Litchfield,*,2020
H0104,801,7030,9007,CT,Middlesex,*,2020
H0104,801,7040,9009,CT,New Haven,*,2020
H0104,801,7050,9011,CT,New London,*,2020
H0104,801,7060,9013,CT,Tolland,*,2020
H0104,801,7070,9015,CT,Windham,*,2020
H0104,802,7000,9001,CT,Fairfield,*,2020
H0104,802,7010,9003,CT,Hartford,*,2020
H0104,802,7020,9005,CT,Litchfield,*,2020
H0104,802,7030,9007,CT,Middlesex,*,2020
H0104,802,7040,9009,CT,New Haven,*,2020
H0104,802,7050,9011,CT,New London,*,2020
H0104,802,7060,9013,CT,Tolland,*,2020
H0104,802,7070,9015,CT,Windham,*,2020
H0104,804,7000,9001,CT,Fairfield,*,2020
H0104,804,7010,9003,CT,Hartford,*,2020
H0104,804,7020,9005,CT,Litchfield,*,2020
H0104,804,7030,9007,CT,Middlesex,*,2020
H0104,804,7040,9009,CT,New Haven,*,2020
H0104,804,7050,9011,CT,New London,*,2020
H0104,804,7060,9013,CT,Tolland,*,2020
H0104,804,7070,9015,CT,Windham,*,2020
H0104,805,7000,9001,CT,Fairfield,*,2020
H0104,805,7010,9003,CT,Hartford,*,2020
H0104,805,7020,9005,CT,Litchfield,*,2020
H0104,805,7030,9007,CT,Middlesex,*,2020
H0104,805,7040,9009,CT,New Haven,*,2020
H0104,805,7050,9011,CT,New London,*,2020
H0104,805,7060,9013,CT,Tolland,*,2020
H0104,805,7070,9015,CT,Windham,*,2020
H0104,806,7000,9001,CT,Fairfield,*,2020
H0104,806,7010,9003,CT,Hartford,*,2020
H0104,806,7020,9005,CT,Litchfield,*,2020
H0104,806,7030,9007,CT,Middlesex,*,2020
H0104,806,7040,9009,CT,New Haven,*,2020
H0104,806,7050,9011,CT,New London,*,2020
H0104,806,7060,9013,CT,Tolland,*,2020
H0104,806,7070,9015,CT,Windham,*,2020
H0104,807,7000,9001,CT,Fairfield,*,2020
H0104,807,7010,9003,CT,Hartford,*,2020
H0104,807,7020,9005,CT,Litchfield,*,2020
H0104,807,7030,9007,CT,Middlesex,*,2020
H0104,807,7040,9009,CT,New Haven,*,2020
H0104,807,7050,9011,CT,New London,*,2020
H0104,807,7060,9013,CT,Tolland,*,2020
H0104,807,7070,9015,CT,Windham,*,2020
H0104,808,7000,9001,CT,Fairfield,*,2020
H0104,808,7010,9003,CT,Hartford,*,2020
H0104,808,7020,9005,CT,Litchfield,*,2020
H0104,808,7030,9007,CT,Middlesex,*,2020
H0104,808,7040,9009,CT,New Haven,*,2020
H0104,808,7050,9011,CT,New London,*,2020
H0104,808,7060,9013,CT,Tolland,*,2020
H0104,808,7070,9015,CT,Windham,*,2020
H0104,809,7000,9001,CT,Fairfield,*,2020
H0104,809,7010,9003,CT,Hartford,*,2020
H0104,809,7020,9005,CT,Litchfield,*,2020
H0104,809,7030,9007,CT,Middlesex,*,2020
H0104,809,7040,9009,CT,New Haven,*,2020
H0104,809,7050,9011,CT,New London,*,2020
H0104,809,7060,9013,CT,Tolland,*,2020
H0104,809,7070,9015,CT,Windham,*,2020
H0107,801,7000,9001,CT,Fairfield,*,2020
H0107,801,7010,9003,CT,Hartford,*,2020
H0107,801,7020,9005,CT,Litchfield,*,2020
H0107,801,7030,9007,CT,Middlesex,*,2020
H0107,801,7040,9009,CT,New Haven,*,2020
H0107,801,7050,9011,CT,New London,*,2020
H0107,801,7060,9013,CT,Tolland,*,2020
H0107,801,7070,9015,CT,Windham,*,2020
H0107,802,7000,9001,CT,Fairfield,*,2020
H0107,802,7010,9003,CT,Hartford,*,2020
H0107,802,7020,9005,CT,Litchfield,*,2020
H0107,802,7030,9007,CT,Middlesex,*,2020
H0107,802,7040,9009,CT,New Haven,*,2020
H0107,802,7050,9011,CT,New London,*,2020
H0107,802,7060,9013,CT,Tolland,*,2020
H0107,802,7070,9015,CT,Windham,*,2020
H0107,803,7000,9001,CT,Fairfield,*,2020
H0107,803,7010,9003,CT,Hartford,*,2020
H0107,803,7020,9005,CT,Litchfield,*,2020
H0107,803,7030,9007,CT,Middlesex,*,2020
