"","Contract.Number","Plan.ID","SSA.State.County.Code","FIPS.State.County.Code","State","County","Enrollment","Year"
"1","E0654",801,7000,9001,"CT","Fairfield",95,"2019"
"2","E0654",801,7010,9003,"CT","Hartford",71,"2019"
"3","E0654",801,7020,9005,"CT","Litchfield",31,"2019"
"4","E0654",801,7030,9007,"CT","Middlesex",18,"2019"
"5","E0654",801,7040,9009,"CT","New Haven",128,"2019"
"6","E0654",801,7050,9011,"CT","New London",40,"2019"
"7","E0654",801,7060,9013,"CT","Tolland",21,"2019"
"8","E0654",801,7070,9015,"CT","Windham",27,"2019"
"9","H0271",14,7000,9001,"CT","Fairfield",2511,"2019"
"10","H0271",14,7010,9003,"CT","Hartford",5163,"2019"
"11","H0271",14,7020,9005,"CT","Litchfield",487,"2019"
"12","H0271",14,7030,9007,"CT","Middlesex",480,"2019"
"13","H0271",14,7040,9009,"CT","New Haven",4605,"2019"
"14","H0271",14,7050,9011,"CT","New London",842,"2019"
"15","H0271",14,7060,9013,"CT","Tolland",392,"2019"
"16","H0271",14,7070,9015,"CT","Windham",528,"2019"
"17","H0710",26,7000,9001,"CT","Fairfield",918,"2019"
"18","H0710",26,7010,9003,"CT","Hartford",1529,"2019"
"19","H0710",26,7020,9005,"CT","Litchfield",209,"2019"
"20","H0710",26,7030,9007,"CT","Middlesex",252,"2019"
"21","H0710",26,7040,9009,"CT","New Haven",675,"2019"
"22","H0710",26,7050,9011,"CT","New London",153,"2019"
"23","H0710",26,7060,9013,"CT","Tolland",117,"2019"
"24","H0710",26,7070,9015,"CT","Windham",134,"2019"
"25","H0712",5,7000,9001,"CT","Fairfield",1030,"2019"
"26","H0712",5,7010,9003,"CT","Hartford",1512,"2019"
"27","H0712",19,7000,9001,"CT","Fairfield",204,"2019"
"28","H0712",19,7010,9003,"CT","Hartford",619,"2019"
"29","H0712",19,7020,9005,"CT","Litchfield",34,"2019"
"30","H0712",19,7030,9007,"CT","Middlesex",28,"2019"
"31","H0712",19,7040,9009,"CT","New Haven",1675,"2019"
"32","H0712",19,7050,9011,"CT","New London",94,"2019"
"33","H0712",19,7060,9013,"CT","Tolland",63,"2019"
"34","H0712",20,7000,9001,"CT","Fairfield",751,"2019"
"35","H0712",20,7010,9003,"CT","Hartford",759,"2019"
"36","H0712",20,7020,9005,"CT","Litchfield",59,"2019"
"37","H0712",20,7030,9007,"CT","Middlesex",50,"2019"
"38","H0712",20,7040,9009,"CT","New Haven",527,"2019"
"39","H0712",20,7050,9011,"CT","New London",93,"2019"
"40","H0712",20,7060,9013,"CT","Tolland",152,"2019"
"41","H0712",21,7000,9001,"CT","Fairfield",29,"2019"
"42","H0712",21,7010,9003,"CT","Hartford",27,"2019"
"43","H0712",21,7050,9011,"CT","New London",18,"2019"
"44","H0712",28,7000,9001,"CT","Fairfield",270,"2019"
"45","H0712",28,7010,9003,"CT","Hartford",404,"2019"
"46","H0755",30,7000,9001,"CT","Fairfield",2291,"2019"
"47","H0755",30,7010,9003,"CT","Hartford",2516,"2019"
"48","H0755",30,7020,9005,"CT","Litchfield",270,"2019"
"49","H0755",30,7030,9007,"CT","Middlesex",243,"2019"
"50","H0755",30,7040,9009,"CT","New Haven",1449,"2019"
"51","H0755",30,7050,9011,"CT","New London",327,"2019"
"52","H0755",30,7060,9013,"CT","Tolland",278,"2019"
"53","H0755",30,7070,9015,"CT","Windham",227,"2019"
"54","H0755",31,7000,9001,"CT","Fairfield",4839,"2019"
"55","H0755",31,7010,9003,"CT","Hartford",8646,"2019"
"56","H0755",31,7020,9005,"CT","Litchfield",986,"2019"
"57","H0755",31,7030,9007,"CT","Middlesex",877,"2019"
"58","H0755",31,7040,9009,"CT","New Haven",3521,"2019"
"59","H0755",31,7050,9011,"CT","New London",1879,"2019"
"60","H0755",31,7060,9013,"CT","Tolland",1438,"2019"
"61","H0755",31,7070,9015,"CT","Windham",1047,"2019"
"62","H0755",32,7000,9001,"CT","Fairfield",94,"2019"
"63","H0755",32,7010,9003,"CT","Hartford",121,"2019"
"64","H0755",32,7020,9005,"CT","Litchfield",27,"2019"
"65","H0755",32,7030,9007,"CT","Middlesex",18,"2019"
