Contract.Number,Plan.ID,SSA.State.County.Code,FIPS.State.County.Code,State,County,Enrollment
E0654,801,7000,9001,CT,Fairfield,83
E0654,801,7010,9003,CT,Hartford,66
E0654,801,7020,9005,CT,Litchfield,29
E0654,801,7030,9007,CT,Middlesex,13
E0654,801,7040,9009,CT,New Haven,123
E0654,801,7050,9011,CT,New London,39
E0654,801,7060,9013,CT,Tolland,17
E0654,801,7070,9015,CT,Windham,26
H0137,1,7010,9003,CT,Hartford,12
H0271,14,7000,9001,CT,Fairfield,4141
H0271,14,7010,9003,CT,Hartford,7763
H0271,14,7020,9005,CT,Litchfield,939
H0271,14,7030,9007,CT,Middlesex,978
H0271,14,7040,9009,CT,New Haven,6811
H0271,14,7050,9011,CT,New London,1654
H0271,14,7060,9013,CT,Tolland,707
H0271,14,7070,9015,CT,Windham,922
H0710,26,7000,9001,CT,Fairfield,634
H0710,26,7010,9003,CT,Hartford,1217
H0710,26,7020,9005,CT,Litchfield,205
H0710,26,7030,9007,CT,Middlesex,221
H0710,26,7040,9009,CT,New Haven,487
H0710,26,7050,9011,CT,New London,138
H0710,26,7060,9013,CT,Tolland,102
H0710,26,7070,9015,CT,Windham,118
H0712,5,7000,9001,CT,Fairfield,1005
H0712,5,7010,9003,CT,Hartford,1324
H0712,5,7020,9005,CT,Litchfield,30
H0712,5,7030,9007,CT,Middlesex,42
H0712,5,7040,9009,CT,New Haven,418
H0712,5,7050,9011,CT,New London,97
H0712,5,7060,9013,CT,Tolland,23
H0712,19,7000,9001,CT,Fairfield,142
H0712,19,7010,9003,CT,Hartford,476
H0712,19,7020,9005,CT,Litchfield,27
H0712,19,7030,9007,CT,Middlesex,21
H0712,19,7040,9009,CT,New Haven,1200
H0712,19,7050,9011,CT,New London,72
H0712,19,7060,9013,CT,Tolland,49
H0712,20,7000,9001,CT,Fairfield,632
H0712,20,7010,9003,CT,Hartford,585
H0712,20,7020,9005,CT,Litchfield,36
H0712,20,7030,9007,CT,Middlesex,37
H0712,20,7040,9009,CT,New Haven,344
H0712,20,7050,9011,CT,New London,76
H0712,20,7060,9013,CT,Tolland,91
H0712,28,7000,9001,CT,Fairfield,232
H0712,28,7010,9003,CT,Hartford,297
H0712,29,7000,9001,CT,Fairfield,108
H0712,29,7010,9003,CT,Hartford,148
H0712,29,7020,9005,CT,Litchfield,18
H0712,29,7030,9007,CT,Middlesex,11
H0712,29,7040,9009,CT,New Haven,236
H0712,29,7050,9011,CT,New London,28
H0755,30,7000,9001,CT,Fairfield,1944
H0755,30,7010,9003,CT,Hartford,2093
H0755,30,7020,9005,CT,Litchfield,214
H0755,30,7030,9007,CT,Middlesex,217
H0755,30,7040,9009,CT,New Haven,1235
H0755,30,7050,9011,CT,New London,285
H0755,30,7060,9013,CT,Tolland,232
H0755,30,7070,9015,CT,Windham,198
H0755,31,7000,9001,CT,Fairfield,4440
H0755,31,7010,9003,CT,Hartford,7944
H0755,31,7020,9005,CT,Litchfield,938
H0755,31,7030,9007,CT,Middlesex,883
H0755,31,7040,9009,CT,New Haven,3292
H0755,31,7050,9011,CT,New London,1741
H0755,31,7060,9013,CT,Tolland,1372
H0755,31,7070,9015,CT,Windham,942
H0755,32,7000,9001,CT,Fairfield,87
H0755,32,7010,9003,CT,Hartford,125
H0755,32,7020,9005,CT,Litchfield,31
H0755,32,7030,9007,CT,Middlesex,19
H0755,32,7040,9009,CT,New Haven,91
H0755,32,7050,9011,CT,New London,59
H0755,32,7060,9013,CT,Tolland,11
H0755,32,7070,9015,CT,Windham,12
H0755,33,7000,9001,CT,Fairfield,4103
H0755,33,7010,9003,CT,Hartford,7095
H0755,33,7020,9005,CT,Litchfield,1109
H0755,33,7030,9007,CT,Middlesex,1183
H0755,33,7040,9009,CT,New Haven,3965
H0755,33,7050,9011,CT,New London,1934
H0755,33,7060,9013,CT,Tolland,1181
H0755,33,7070,9015,CT,Windham,1049
H0755,810,7000,9001,CT,Fairfield,35
H0755,810,7010,9003,CT,Hartford,82
H0755,810,7020,9005,CT,Litchfield,17
H0755,810,7040,9009,CT,New Haven,57
H0755,810,7050,9011,CT,New London,12
H0755,810,7060,9013,CT,Tolland,20
H1666,801,7000,9001,CT,Fairfield,16
H1914,1,7000,9001,CT,Fairfield,515
H1914,1,7010,9003,CT,Hartford,566
H1914,1,7020,9005,CT,Litchfield,173
H1914,1,7030,9007,CT,Middlesex,99
H1914,1,7040,9009,CT,New Haven,708
H1914,1,7050,9011,CT,New London,200
H1914,1,7060,9013,CT,Tolland,101
H2001,816,7000,9001,CT,Fairfield,221
H2001,816,7010,9003,CT,Hartford,415
H2001,816,7020,9005,CT,Litchfield,110
H2001,816,7030,9007,CT,Middlesex,47
H2001,816,7040,9009,CT,New Haven,296
H2001,816,7050,9011,CT,New London,71
H2001,816,7060,9013,CT,Tolland,49
H2001,816,7070,9015,CT,Windham,45
H2001,817,7000,9001,CT,Fairfield,1369
H2001,817,7010,9003,CT,Hartford,1534
H2001,817,7020,9005,CT,Litchfield,220
H2001,817,7030,9007,CT,Middlesex,375
H2001,817,7040,9009,CT,New Haven,1276
H2001,817,7050,9011,CT,New London,1303
H2001,817,7060,9013,CT,Tolland,200
H2001,817,7070,9015,CT,Windham,122
H2001,823,7000,9001,CT,Fairfield,27
H2001,823,7040,9009,CT,New Haven,11
H2001,827,7040,9009,CT,New Haven,13
H2001,836,7010,9003,CT,Hartford,18
H2001,836,7040,9009,CT,New Haven,12
H2001,838,7000,9001,CT,Fairfield,3013
H2001,838,7010,9003,CT,Hartford,12348
H2001,838,7020,9005,CT,Litchfield,2337
H2001,838,7030,9007,CT,Middlesex,3118
H2001,838,7040,9009,CT,New Haven,7121
H2001,838,7050,9011,CT,New London,3888
H2001,838,7060,9013,CT,Tolland,3399
H2001,838,7070,9015,CT,Windham,2400
H2001,840,7000,9001,CT,Fairfield,98
H2001,840,7010,9003,CT,Hartford,44
H2001,840,7040,9009,CT,New Haven,19
H2001,847,7000,9001,CT,Fairfield,784
H2001,847,7010,9003,CT,Hartford,1545
H2001,847,7020,9005,CT,Litchfield,160
H2001,847,7030,9007,CT,Middlesex,212
H2001,847,7040,9009,CT,New Haven,601
H2001,847,7050,9011,CT,New London,196
H2001,847,7060,9013,CT,Tolland,210
H2001,847,7070,9015,CT,Windham,119
H3276,1,7000,9001,CT,Fairfield,245
H3276,1,7010,9003,CT,Hartford,832
H3276,1,7020,9005,CT,Litchfield,18
H3276,1,7030,9007,CT,Middlesex,21
H3276,1,7040,9009,CT,New Haven,424
H3276,1,7050,9011,CT,New London,28
H3276,1,7060,9013,CT,Tolland,20
H3276,1,7070,9015,CT,Windham,19
H3359,21,7040,9009,CT,New Haven,11
H3442,1,7000,9001,CT,Fairfield,1893
H3442,1,7010,9003,CT,Hartford,2536
H3442,1,7020,9005,CT,Litchfield,406
H3442,1,7030,9007,CT,Middlesex,628
H3442,1,7040,9009,CT,New Haven,1833
H3442,1,7050,9011,CT,New London,925
H3442,1,7060,9013,CT,Tolland,345
H3442,1,7070,9015,CT,Windham,537
H3528,3,7000,9001,CT,Fairfield,175
H3528,3,7010,9003,CT,Hartford,346
H3528,3,7020,9005,CT,Litchfield,82
H3528,3,7030,9007,CT,Middlesex,186
H3528,3,7040,9009,CT,New Haven,379
H3528,3,7050,9011,CT,New London,120
H3528,3,7060,9013,CT,Tolland,78
H3528,3,7070,9015,CT,Windham,59
H3528,6,7000,9001,CT,Fairfield,126
H3528,6,7010,9003,CT,Hartford,100
H3528,6,7020,9005,CT,Litchfield,29
H3528,6,7030,9007,CT,Middlesex,25
H3528,6,7040,9009,CT,New Haven,72
H3528,6,7050,9011,CT,New London,28
H3528,6,7060,9013,CT,Tolland,21
H3528,10,7000,9001,CT,Fairfield,567
H3528,10,7010,9003,CT,Hartford,4820
H3528,10,7020,9005,CT,Litchfield,743
H3528,10,7030,9007,CT,Middlesex,1946
H3528,10,7040,9009,CT,New Haven,1901
H3528,10,7050,9011,CT,New London,1218
H3528,10,7060,9013,CT,Tolland,806
H3528,10,7070,9015,CT,Windham,534
H3528,11,7000,9001,CT,Fairfield,2388
H3528,11,7010,9003,CT,Hartford,3972
H3528,11,7020,9005,CT,Litchfield,849
H3528,11,7030,9007,CT,Middlesex,1791
H3528,11,7040,9009,CT,New Haven,4449
H3528,11,7050,9011,CT,New London,1378
H3528,11,7060,9013,CT,Tolland,824
H3528,11,7070,9015,CT,Windham,516
H3528,14,7000,9001,CT,Fairfield,1264
H3528,14,7010,9003,CT,Hartford,3410
H3528,14,7020,9005,CT,Litchfield,746
H3528,14,7030,9007,CT,Middlesex,967
H3528,14,7040,9009,CT,New Haven,2806
H3528,14,7050,9011,CT,New London,996
H3528,14,7060,9013,CT,Tolland,901
H3528,14,7070,9015,CT,Windham,260
H3528,15,7000,9001,CT,Fairfield,12
H3528,15,7010,9003,CT,Hartford,602
H3528,15,7020,9005,CT,Litchfield,128
H3528,15,7030,9007,CT,Middlesex,216
H3528,15,7040,9009,CT,New Haven,705
H3528,15,7050,9011,CT,New London,159
H3528,15,7060,9013,CT,Tolland,95
H3528,15,7070,9015,CT,Windham,39
